timestamp,park,apiId,status,wait
2026-06-06T11:49:32.370Z,TDS,c8744918-42c0-427d-8947-c3dbd1abf8d5,OPERATING,15
2026-06-06T11:49:32.370Z,TDS,58815e8e-7c01-4a42-8a00-1bd1c82a0252,OPERATING,25
2026-06-06T11:49:32.370Z,TDS,44df35ec-28cb-4465-9ae1-95a4d6445a82,CLOSED,
2026-06-06T11:49:32.370Z,TDS,9fb0c97c-ebf7-4c25-8ea7-a3f4fe2aa9ec,CLOSED,
2026-06-06T11:49:32.370Z,TDS,2ca8f848-b8e2-4ba5-aa6e-e0fb37e85d0b,CLOSED,
2026-06-06T11:49:32.370Z,TDS,c6c0d34d-531a-40d9-b711-3497fd53c28b,OPERATING,5
2026-06-06T11:49:32.370Z,TDS,e8c15bc6-aaab-44ef-8285-1d92ebd2c47d,CLOSED,
2026-06-06T11:49:32.370Z,TDS,abb5d6ec-469e-4ab0-8685-5f04e9749653,CLOSED,
2026-06-06T11:49:32.370Z,TDS,10b5b89e-02a6-4456-9ddd-69e06c2bded4,CLOSED,
2026-06-06T11:49:32.370Z,TDS,dcad67fe-76bb-4df2-bf5b-aaf70e8efc12,CLOSED,
2026-06-06T11:49:32.370Z,TDS,c15da0f5-9668-48ee-b93a-8b737b6acf5b,OPERATING,15
2026-06-06T11:49:32.370Z,TDS,c0224e78-abf6-4f89-b0d4-38647a98dd4d,CLOSED,
2026-06-06T11:49:32.370Z,TDS,f37d7fe8-169f-459d-86f3-4843655358bd,OPERATING,15
2026-06-06T11:49:32.370Z,TDS,2d56558a-d4d2-4f79-898c-178c2c20cf67,CLOSED,
2026-06-06T11:49:32.370Z,TDS,7afc3143-befb-4a61-9c86-8d6869eb2ce3,CLOSED,
2026-06-06T11:49:32.370Z,TDS,70c16669-c9ba-4f83-bd25-3cd9ea5a0b0c,CLOSED,
2026-06-06T11:49:32.370Z,TDS,6e44f5c0-f996-45ad-aa7e-9738df6a6047,CLOSED,
2026-06-06T11:49:32.370Z,TDS,a674e149-8ae3-4338-b1e3-c9f6b804f475,CLOSED,
2026-06-06T11:49:32.370Z,TDS,c8526be3-e82c-4692-ae44-e8f2d1142c8a,CLOSED,
2026-06-06T11:49:32.370Z,TDS,71943126-e4ac-49c5-ac61-ac1687ad33af,OPERATING,15
2026-06-06T11:49:32.370Z,TDS,7594d3f2-b3d1-47a0-b64f-8bc01d373830,OPERATING,10
2026-06-06T15:59:28.396Z,TDL,55458c39-ee47-4b8d-ab07-991d12a0313d,CLOSED,
2026-06-06T15:59:28.396Z,TDL,5f0425c4-7d35-4afd-bb28-6c73f1920b1f,CLOSED,
2026-06-06T15:59:28.396Z,TDL,f9321bc7-aa96-4a70-b963-681482384d1b,CLOSED,
2026-06-06T15:59:28.396Z,TDL,e541ad8f-1457-469a-8f35-457555f475ad,CLOSED,
2026-06-06T15:59:28.396Z,TDL,78510449-ec64-47d3-a140-7b473dbaddf2,CLOSED,
2026-06-06T15:59:28.396Z,TDL,392ca2e8-afe0-4103-b296-c45bd373d036,CLOSED,
2026-06-06T15:59:28.396Z,TDL,037a13bf-b06e-4902-aa12-02d758d1718d,CLOSED,
2026-06-06T15:59:28.396Z,TDL,6ee0697f-57ba-4c7b-8216-7c55b21288d4,CLOSED,
2026-06-06T15:59:28.396Z,TDL,f82709b6-51a3-4b65-8d6f-c2472f5053df,CLOSED,
